region1,region2,voltage,length,r,x,frequency,circuits,capacity
28,26,380000,101.2,1.230219931,13.90549005,50,2,1645
26,14,380000,34.02,0.795,9.313,50,2,1995
14,4,380000,14.835,0.227,3.596,50,2,2635
4,13,380000,40.43,0.618,9.799,50,2,2635
13,22,380000,26,0.4,6.3,50,2,2635
22,12,380000,49.232,0.578,17.344,50,2,2635
12,14,380000,18.56,0.283,4.521,50,2,2635
12,15,380000,45.944,0.627,9.921,50,2,1975
15,17,380000,14.31,0.22,2.74,50,2,1975
17,25,380000,32.2,0.599,5.005,50,2,1900
14,25,380000,50.43,0.631812987,7.349314052,50,2,1645
26,16,380000,63.9,1.47,19.026,50,3,2467.5
16,18,380000,48.742,1.133,13.351,50,2,1975
18,19,380000,57.9,1.34,15.85,50,1,1645
19,21,380000,42,0.97,11,50,1,1645
18,21,380000,99.6,2.316,27.281,50,1,1645
21,0,380000,45.4,1.155,12.372,50,2,1645
0,24,380000,58.65,1.491,16.04,50,2,1645
24,27,380000,60.31,1.53,16.526,50,2,1645
27,6,380000,32,0.81,8.747,50,2,1995
25,6,380000,71.43,1.672,19.437,50,2,1645
27,11,380000,107.85,1.497,25.632,50,2,2635
11,30,380000,36.8,0.509,8.769,50,2,2635
27,5,220000,64.052,1.302,18.72,50,2,953
27,6,220000,31.41,0.749,8.261,50,2,953
6,8,220000,83.13,1.987,21.856,50,2,953
8,31,220000,32.48,0.726,8.276,50,2,953
5,31,220000,22.71,0.4,6.97,50,2,953
30,31,220000,40.02,0.494750046,5.721002716,50,3,1326
11,30,220000,55.2,0.929,13.58,50,2,884
13,9,150000,20.73,1.2438,2.98512,50,2,400
13,22,150000,28.98,1.7388,4.17312,50,2,241
4,1,150000,27.17,1.6302,3.91248,50,2,354
26,10,150000,16.95,1.017,2.4408,50,2,390
16,10,150000,42.31,2.5386,6.09264,50,2,422.5
26,16,150000,54.61,3.2766,7.86384,50,2,393.4
18,29,150000,38.92,2.3352,5.60448,50,2,380
21,7,150000,17.2,1.032,2.4768,50,2,208
21,2,150000,15.82,0.9492,2.27808,50,2,226
0,2,150000,12.71,0.7626,1.83024,50,2,184
19,2,150000,30.05,1.803,4.3272,50,2,175
0,23,150000,40.41,2.4246,5.81904,50,2,228.5
6,23,150000,82.4,4.944,11.8656,50,2,416
23,2,150000,41.54,2.4924,5.98176,50,2,195
7,20,150000,35.07,2.1042,5.05008,50,2,223
21,3,150000,84,5.04,12.096,50,2,416
25,3,150000,53.58,3.2148,7.71552,50,2,208
6,20,150000,30.33,1.8198,4.36752,50,2,416
3,20,150000,49.45,2.967,7.1208,50,2,416
6,3,150000,73.74,4.4244,10.61856,50,2,416
