Achterhoek,Alblasserwaard,Arnhem/Nijmegen,Amersfoort,Drechtsteden,Drenthe,Flevoland,FoodValley,Friesland,Goeree-Overflakkee,Hart_van_Brabant,Groningen,Holland_Rijnland,Hoeksewaard,Midden-Holland,Noord-Holland_Zuid,Eindhoven,Noord_Holland_Noord,Noord-en_Midden_Limburg,Noord-oost_Brabant,Noord_Veluwe,Rivierenland(Fruitdelta),Rotterdam-Den_Haag,Stedendriehoek/cleantechregio,Twente,U10/U16,West-Brabant,West-Overijssel,Zeeland,Zuid-Limburg
Aalten,Giessenlanden,Arnhem,Amersfoort,Alblasserdam,Aa_en_Hunze,Almere,Barneveld,Achtkarspelen,Goeree-Overflakkee,Dongen,,Alphen_aan_den_Rijn,,Bodegraven-Reeuwijk,Aalsmeer,Asten,Alkmaar,Beesel,Bernheze,Elburg,Buren,Albrandswaard,Apeldoorn,Almelo,Bunnik,Altena,Dalfsen,Borsele,Beek
Berkelland,Gorinchem,Berg_en_Dal,Baarn,Dordrecht,Assen,Dronten,Ede,Ameland,,Gilze_en_Rijen,,Hillegom,,Gouda,Amstelveen,Bergeijk,Bergen(NH),Bergen(L),Boekel,Ermelo,Culemborg,Barendrecht,Brummen,Borne,De_Bilt,Alphen-Chaam,Deventer,Goes,Brunssum
Bronckhorst,Molenwaard,Beuningen,Bunschoten,Hardinxveld-Giessendam,Borger-Odoorn,Lelystad,Nijkerk,Dantumadiel,,Goirle,,Kaag_en_Braassem,,Krimpenerwaard,Amsterdam,Best,Castricum,Echt-Susteren,Boxmeer,Harderwijk,Geldermalsen,Brielle,Epe,Dinkelland,De_Ronde_Venen,Baarle-Nassau,Hardenberg,Hulst,Eijsden-Margraten
Doetinchem,,Doesburg,Eemnes,Hendrik-Ido-Ambacht,Coevorden,Noordoostpolder,Renswoude,De_Friese_Meren,,Heusden,,Katwijk,,Waddinxveen,Beemster,Bladel,Den_Helder,Gennep,Boxtel,Hattem,Lingewaal,Capelle_aan_den_IJssel,Heerde,Enschede,Houten,Bergen_op_Zoom,Kampen,Kapelle,Gulpen-Wittem
Montferland,,Druten,Leusden,Papendrecht,De_Wolden,Urk,Rhenen,Harlingen,,Hilvarenbeek,,Leiden,,Zuidplas,Beverwijk,Cranendonck,Drechterland,Horst_aan_de_Maas,Cuijk,Nunspeet,Maasdriel,Delft,Lochem,Haaksbergen,IJsselstein,Breda,Olst-Wijhe,Middelburg,Heerlen
Oost_Gelre,,Duiven,Soest,Sliedrecht,Emmen,Zeewolde,Scherpenzeel,Heerenveen,,Loon_op_Zand,,Leiderdorp,,,Blaricum,Deurne,Enkhuizen,Leudal,Grave,Oldebroek,Neder-Betuwe,Hellevoetsluis,Voorst,Hellendoorn,Lopik,Drimmelen,Ommen,Noord-Beveland,Kerkrade
Oude_Ijsselstreek,,Heumen,Woudenberg,Zwijndrecht,Hoogeveen,,Veenendaal,Leeuwarden,,Oisterwijk,,Lisse,,,Bloemendaal,Eersel,Heerhugowaard,Maasgouw,Haaren,Putten,Neerijnen,Krimpen_aan_den_IJssel,Zutphen,Hengelo,Montfoort,Etten-Leur,Raalte,Reimerswaal,Landgraaf
Winterswijk,,Lingewaard,,,Meppel,,Wageningen,Noardeast-Fryslân,,Tilburg,,Nieuwkoop,,,Diemen,Eindhoven,Heiloo,Mook_en_Middelaar,Landerd,,Tiel,Lansingerland,,Hof_van_Twente,Nieuwegein,Geertruidenberg,Staphorst,Schouwen-Duiveland,Maastricht
,,Nijmegen,,,Midden-Drenthe,,,Ooststellingwerf,,Waalwijk,,Noordwijk,,,Edam-Volendam,Geldrop-Mierlo,Hollands_Kroon,Nederweert,Meierijstad,,West_Maas_en_Waal,Leidschendam-Voorburg,,Losser,Oudewater,Halderberge,Steenwijkerland,Sluis,Meerssen
,,Overbetuwe,,,Noordenveld,,,Opsterland,,,,Oegstgeest,,,Gooise_Meren,Gemert-Bakel,Hoorn,Peel_en_Maas,Mill_en_Sint_Hubert,,Zaltbommel,Maassluis,,Oldenzaal,Stichtse_Vecht,Moerdijk,Zwartewaterland,Terneuzen,Beekdaelen
,,Renkum,,,Tynaarlo,,,Schiermonnikoog,,,,Teylingen,,,Haarlem,Heeze-Leende,Koggenland,Roerdalen,Oss,,,Midden-Delfland,,Rijssen-Holten,Utrecht,Oosterhout,Zwolle,Tholen,Simpelveld
,,Rheden,,,Westerveld,,,Smallingerland,,,,Voorschoten,,,Haarlemmermeer,Helmond,Langedijk,Roermond,Den_Bosch,,,Nissewaard,,Tubbergen,Utrechtse_Heuvelrug,Roosendaal,,Veere,Sittard-Geleen
,,Rozendaal,,,,,,Súdwest-Fryslân,,,,Zoeterwoude,,,Heemskerk,Laarbeek,Medemblik,Venlo,Sint_Anthonis,,,Pijnacker-Nootdorp,,Twenterand,Vijfheerenlanden,Rucphen,,Vlissingen,Stein
,,Westervoort,,,,,,Terschelling,,,,,,,Heemstede,Nuenen_Gerwen_en_Nederwetten,Opmeer,Venray,Sint-Michielsgestel,,,Ridderkerk,,Wierden,Wijk_bij_Duurstede,Steenbergen,,,Vaals
,,Wijchen,,,,,,Tytsjerksteradiel,,,,,,,Hilversum,Oirschot,Schagen,Weert,Uden,,,Rijswijk,,,Woerden,Woensdrecht,,,Valkenburg_aan_de_Geul
,,Zevenaar,,,,,,Vlieland,,,,,,,Huizen,Reusel-De_Mierden,Stede_Broec,,Vught,,,Rotterdam,,,Zeist,Zundert,,,Voerendaal
,,,,,,,,Waadhoeke,,,,,,,Landsmeer,Someren,Texel,,,,,Schiedam,,,,,,,
,,,,,,,,Weststellingwerf,,,,,,,Laren,Son_en_Breugel,Uitgeest,,,,,Den_Haag,,,,,,,
